category,country,doc_id,title,chunk_id,text_snippet
TRANSPARENCY,US,us_doc1,AI Risk Management Framework 1.0,us_doc1_0004,"Part1: FoundationalInformation 4 1 FramingRisk 4 1.1 UnderstandingandAddressingRisks,Impacts,andHarms 4 1.2 ChallengesforAIRiskManagement 5 1.2.1 RiskMeasurement 5 1.2.2 RiskTolerance 7 1.2.3 RiskPrioritization 7 1.2.4 OrganizationalIntegrationandManagementofRisk 8 2 Audience 9 3 AIRisksandTrustwort..."
TRANSPARENCY,US,us_doc1,AI Risk Management Framework 1.0,us_doc1_0008,"tion, and validation tasks. Note that AI actors in the AI Model dimension (Figure2)areseparatedasabestpractice,withthosebuildingandusingthe modelsseparatedfromthoseverifyingandvalidatingthemodels. 11 Fig.4 Characteristics of trustworthy AI systems. Valid & Reliable is a necessary condition of trustw..."
TRANSPARENCY,CN,cn_algo_2022,互联网信息服务算法推荐管理规定,cn_algo_2022_0002,提供算法推荐服务，应当遵守法律法规，尊重社会公德和伦理，遵守商业道德和职业道德，遵循公正公平、公开透明、科学合理和诚实信用的原则。 第五条 鼓励相关行业组织加强行业自律，建立健全行业标准、行业准则和自律管理制度，督促指导算法推荐服务提供者制定完善服务规范、依法提供服务并接受社会监督。 第二章 信息服务规范 第六条 算法推荐服务提供者应当坚持主流价值导向，优化算法推荐服务机制，积极传播正能量，促进算法应用向上向善。 算法推荐服务提供者不得利用算法推荐服务从事危害国家安全和社会公共利益、扰乱经济秩序和社会秩序、侵犯他人合法权益等法律、行政法规禁止的活动，不得利用算法推荐服务传播法律、行政法规禁止的...
TRANSPARENCY,CN,cn_algo_2022,互联网信息服务算法推荐管理规定,cn_algo_2022_0004,鼓励算法推荐服务提供者综合运用内容去重、打散干预等策略，并优化检索、排序、选择、推送、展示等规则的透明度和可解释性，避免对用户产生不良影响，预防和减少争议纠纷。 第十三条 算法推荐服务提供者提供互联网新闻信息服务的，应当依法取得互联网新闻信息服务许可，规范开展互联网新闻信息采编发布服务、转载服务和传播平台服务，不得生成合成虚假新闻信息，不得传播非国家规定范围内的单位发布的新闻信息。 第十四条 算法推荐服务提供者不得利用算法虚假注册账号、非法交易账号、操纵用户账号或者虚假点赞、评论、转发，不得利用算法屏蔽信息、过度推荐、操纵榜单或者检索结果排序、控制热搜或者精选等干预信息呈现，实施影响网络舆论或...
OVERSIGHT_AUDIT,US,us_doc1,AI Risk Management Framework 1.0,us_doc1_0002,UpdateScheduleandVersions TheArtificialIntelligenceRiskManagementFramework(AIRMF)isintendedtobealivingdocument. NISTwillreviewthecontentandusefulnessoftheFrameworkregularlytodetermineifanupdateisappro- priate;areviewwithformalinputfromtheAIcommunityisexpectedtotakeplacenolaterthan2028. The Framework...
OVERSIGHT_AUDIT,US,us_doc1,AI Risk Management Framework 1.0,us_doc1_0003,"change only with major revisions. Minor revisions will be tracked using “.n” after the generation number (e.g.,1.1). AllchangeswillbetrackedusingaVersionControlTablewhichidentifiesthehistory,including version number, date of change, and description of change. NIST plans to update the AI RMF Playbook..."
OVERSIGHT_AUDIT,CN,cn_algo_2022,互联网信息服务算法推荐管理规定,cn_algo_2022_0000,互联网信息服务算法推荐管理规定_中央网络安全和信息化委员会办公室 设为首页 加入收藏 手机版 繁体 搜索 首 页 时政要闻 网信政务 互动服务 热点专题 当前位置： 首页 > 正文 首页 时政要闻 网信政务 互动服务 热点专题 互联网信息服务算法推荐管理规定 2022年01月04日 10:02 来源： 中国网信网 【打印】 【纠错】 国家互联网信息办公室 中华人民共和国工业和信息化部 中华人民共和国公安部 国家市场监督管理总局 令 第9号 《互联网信息服务算法推荐管理规定》已经2021年11月16日国家互联网信息办公室2021年第20次室务会议审议通过，并经工业和信息化部、公安部、国家市场监督...
OVERSIGHT_AUDIT,CN,cn_algo_2022,互联网信息服务算法推荐管理规定,cn_algo_2022_0001,为了规范互联网信息服务算法推荐活动，弘扬社会主义核心价值观，维护国家安全和社会公共利益，保护公民、法人和其他组织的合法权益，促进互联网信息服务健康有序发展，根据《中华人民共和国网络安全法》、《中华人民共和国数据安全法》、《中华人民共和国个人信息保护法》、《互联网信息服务管理办法》等法律、行政法规，制定本规定。 第二条 在中华人民共和国境内应用算法推荐技术提供互联网信息服务（以下简称算法推荐服务），适用本规定。法律、行政法规另有规定的，依照其规定。 前款所称应用算法推荐技术，是指利用生成合成类、个性化推送类、排序精选类、检索过滤类、调度决策类等算法技术向用户提供信息。 第三条 国家网信部门负责统...
ACCOUNTABILITY_LIABILITY,US,us_doc1,AI Risk Management Framework 1.0,us_doc1_0004,"Part1: FoundationalInformation 4 1 FramingRisk 4 1.1 UnderstandingandAddressingRisks,Impacts,andHarms 4 1.2 ChallengesforAIRiskManagement 5 1.2.1 RiskMeasurement 5 1.2.2 RiskTolerance 7 1.2.3 RiskPrioritization 7 1.2.4 OrganizationalIntegrationandManagementofRisk 8 2 Audience 9 3 AIRisksandTrustwort..."
ACCOUNTABILITY_LIABILITY,US,us_doc1,AI Risk Management Framework 1.0,us_doc1_0006,Table3 Categoriesandsubcategoriesforthe MEASURE function. 29 Table4 Categoriesandsubcategoriesforthe MANAGE function. 32 i NISTAI100-1 AIRMF1.0 List of Figures Fig.1 ExamplesofpotentialharmsrelatedtoAIsystems. TrustworthyAIsystems and their responsible use can mitigate negative risks and contribute ...
ACCOUNTABILITY_LIABILITY,CN,cn_algo_2022,互联网信息服务算法推荐管理规定,cn_algo_2022_0002,提供算法推荐服务，应当遵守法律法规，尊重社会公德和伦理，遵守商业道德和职业道德，遵循公正公平、公开透明、科学合理和诚实信用的原则。 第五条 鼓励相关行业组织加强行业自律，建立健全行业标准、行业准则和自律管理制度，督促指导算法推荐服务提供者制定完善服务规范、依法提供服务并接受社会监督。 第二章 信息服务规范 第六条 算法推荐服务提供者应当坚持主流价值导向，优化算法推荐服务机制，积极传播正能量，促进算法应用向上向善。 算法推荐服务提供者不得利用算法推荐服务从事危害国家安全和社会公共利益、扰乱经济秩序和社会秩序、侵犯他人合法权益等法律、行政法规禁止的活动，不得利用算法推荐服务传播法律、行政法规禁止的...
ACCOUNTABILITY_LIABILITY,CN,cn_algo_2022,互联网信息服务算法推荐管理规定,cn_algo_2022_0005,算法推荐服务提供者应当向用户提供不针对其个人特征的选项，或者向用户提供便捷的关闭算法推荐服务的选项。用户选择关闭算法推荐服务的，算法推荐服务提供者应当立即停止提供相关服务。 算法推荐服务提供者应当向用户提供选择或者删除用于算法推荐服务的针对其个人特征的用户标签的功能。 算法推荐服务提供者应用算法对用户权益造成重大影响的，应当依法予以说明并承担相应责任。 第十八条 算法推荐服务提供者向未成年人提供服务的，应当依法履行未成年人网络保护义务，并通过开发适合未成年人使用的模式、提供适合未成年人特点的服务等方式，便利未成年人获取有益身心健康的信息。 算法推荐服务提供者不得向未成年人推送可能引发未成年人模...
PUBLIC_PARTICIPATION,US,us_doc1,AI Risk Management Framework 1.0,us_doc1_0000,"NIST AI 100-1 Artificial Intelligence Risk Management Framework (AI RMF 1.0) NIST AI 100-1 Artificial Intelligence Risk Management Framework (AI RMF 1.0) Thispublicationisavailablefreeofchargefrom: https://doi.org/10.6028/NIST.AI.100-1 January2023 U.S.DepartmentofCommerce GinaM.Raimondo,Secretary Na..."
PUBLIC_PARTICIPATION,US,us_doc1,AI Risk Management Framework 1.0,us_doc1_0001,"Certain commercial entities, equipment, or materials may be identified in this document in order to describe an experimental procedure or concept adequately. Such identification is not intended to imply recommenda- tion or endorsement by the National Institute of Standards and Technology, nor is it ..."
PUBLIC_PARTICIPATION,CN,cn_algo_2022,互联网信息服务算法推荐管理规定,cn_algo_2022_0002,提供算法推荐服务，应当遵守法律法规，尊重社会公德和伦理，遵守商业道德和职业道德，遵循公正公平、公开透明、科学合理和诚实信用的原则。 第五条 鼓励相关行业组织加强行业自律，建立健全行业标准、行业准则和自律管理制度，督促指导算法推荐服务提供者制定完善服务规范、依法提供服务并接受社会监督。 第二章 信息服务规范 第六条 算法推荐服务提供者应当坚持主流价值导向，优化算法推荐服务机制，积极传播正能量，促进算法应用向上向善。 算法推荐服务提供者不得利用算法推荐服务从事危害国家安全和社会公共利益、扰乱经济秩序和社会秩序、侵犯他人合法权益等法律、行政法规禁止的活动，不得利用算法推荐服务传播法律、行政法规禁止的...
PUBLIC_PARTICIPATION,CN,cn_algo_2022,互联网信息服务算法推荐管理规定,cn_algo_2022_0004,鼓励算法推荐服务提供者综合运用内容去重、打散干预等策略，并优化检索、排序、选择、推送、展示等规则的透明度和可解释性，避免对用户产生不良影响，预防和减少争议纠纷。 第十三条 算法推荐服务提供者提供互联网新闻信息服务的，应当依法取得互联网新闻信息服务许可，规范开展互联网新闻信息采编发布服务、转载服务和传播平台服务，不得生成合成虚假新闻信息，不得传播非国家规定范围内的单位发布的新闻信息。 第十四条 算法推荐服务提供者不得利用算法虚假注册账号、非法交易账号、操纵用户账号或者虚假点赞、评论、转发，不得利用算法屏蔽信息、过度推荐、操纵榜单或者检索结果排序、控制热搜或者精选等干预信息呈现，实施影响网络舆论或...
APPEALS_REMEDY,US,us_doc1,AI Risk Management Framework 1.0,us_doc1_0087,"of AI actors or individuals interacting with or using the AI system. By promoting higher levelsofunderstanding,transparencyincreasesconfidenceintheAIsystem. This characteristic’s scope spans from design decisions and training data to model train- ing, the structure of the model, its intended use cas..."
APPEALS_REMEDY,US,us_doc1,AI Risk Management Framework 1.0,us_doc1_0159,MEASURE 3.3: Feedback processes for end users and impacted communitiestoreportproblemsandappealsystemoutcomesare establishedandintegratedintoAIsystemevaluationmetrics. MEASURE 4: MEASURE4.1: MeasurementapproachesforidentifyingAIrisks Feedbackabout are connected to deployment context(s) and informed ...
APPEALS_REMEDY,CN,cn_algo_2022,互联网信息服务算法推荐管理规定,cn_algo_2022_0000,互联网信息服务算法推荐管理规定_中央网络安全和信息化委员会办公室 设为首页 加入收藏 手机版 繁体 搜索 首 页 时政要闻 网信政务 互动服务 热点专题 当前位置： 首页 > 正文 首页 时政要闻 网信政务 互动服务 热点专题 互联网信息服务算法推荐管理规定 2022年01月04日 10:02 来源： 中国网信网 【打印】 【纠错】 国家互联网信息办公室 中华人民共和国工业和信息化部 中华人民共和国公安部 国家市场监督管理总局 令 第9号 《互联网信息服务算法推荐管理规定》已经2021年11月16日国家互联网信息办公室2021年第20次室务会议审议通过，并经工业和信息化部、公安部、国家市场监督...
APPEALS_REMEDY,CN,cn_algo_2022,互联网信息服务算法推荐管理规定,cn_algo_2022_0006,算法推荐服务提供者向劳动者提供工作调度服务的，应当保护劳动者取得劳动报酬、休息休假等合法权益，建立完善平台订单分配、报酬构成及支付、工作时间、奖惩等相关算法。 第二十一条 算法推荐服务提供者向消费者销售商品或者提供服务的，应当保护消费者公平交易的权利，不得根据消费者的偏好、交易习惯等特征，利用算法在交易价格等交易条件上实施不合理的差别待遇等违法行为。 第二十二条 算法推荐服务提供者应当设置便捷有效的用户申诉和公众投诉、举报入口，明确处理流程和反馈时限，及时受理、处理并反馈处理结果。 第四章 监督管理 第二十三条 网信部门会同电信、公安、市场监管等有关部门建立算法分级分类安全管理制度，根据算法推...
